Title,Year,Console,Generation,Sub-Genre,Fan translation?,Min-7 Average,Pure Average,Popularity,Percentage of 4s or 5s,"Percentage of 1s, 2s, or 3s",Percentage of 5s,1,2,3,4,5,Popularity Gradient Average,Min-10 Average,Min-12 Average,TwoEdge .5 votes
Chrono Cross,1999,Playstation,Fifth,JRPG,No,2.962962963,2.962962963,27,33.33%,66.67%,3.70%,2,7,9,8,1,3.073529412,2.962962963,2.962962963,
Secret of Mana,1993,SNES,Fourth,ARPG,No,2.961538462,2.961538462,26,19.23%,80.77%,7.69%,2,4,15,3,2,3.075757576,2.961538462,2.961538462,
Dragon Quest I,1986,NES,Third,JRPG,No,2.954545455,2.954545455,22,27.27%,72.73%,4.55%,3,2,11,5,1,3.086206897,2.954545455,2.954545455,
Bravely Default II,2021,Nintendo Switch,Ninth,JRPG,No,2.933333333,2.933333333,15,33.33%,66.67%,6.67%,2,3,5,4,1,3.113636364,2.933333333,2.933333333,
Persona 1,1996,Playstation,Fifth,JRPG,No,2.909090909,2.909090909,11,27.27%,72.73%,0.00%,0,4,4,3,0,3.138888889,2.909090909,2.909090909,
Fire Emblem 11: Fates,2015,Nintendo 3DS,Eighth,SRPG,No,2.909090909,2.909090909,11,18.18%,81.82%,18.18%,0,5,4,0,2,3.138888889,2.909090909,2.909090909,
Bravely Default,2012,Nintendo 3DS,Eighth,JRPG,No,2.9,2.9,20,20.00%,80.00%,5.00%,1,5,10,3,1,3.055555556,2.9,2.9,
Phantasy Star 3,1990,Master System,Third,JRPG,No,2.888888889,2.888888889,9,22.22%,77.78%,0.00%,0,3,4,2,0,3.15625,0,2.888888889,
Mario & Luigi: Bowser’s Inside Story,2009,Nintendo DS,Seventh,JRPG,No,2.888888889,2.888888889,9,33.33%,66.67%,0.00%,0,4,2,3,0,3.15625,0,2.888888889,
7th Saga,1993,SNES,Fourth,JRPG,No,2.888888889,2.888888889,9,11.11%,88.89%,0.00%,0,2,6,1,0,3.15625,0,2.888888889,
Octopath Traveler,2018,Nintendo Switch,Eighth,JRPG,No,2.882352941,2.882352941,17,23.53%,76.47%,5.88%,2,3,8,3,1,3.0625,2.882352941,2.882352941,
Final Fantasy I,1987,NES,Third,JRPG,No,2.866666667,2.866666667,30,23.33%,76.67%,13.33%,3,9,11,3,4,2.986486486,2.866666667,2.866666667,
Shin Megami Tensei: Devil Survivor 2,2010,Nintendo DS,Seventh,JRPG/SRPG,No,2.857142857,2.857142857,7,28.57%,71.43%,14.29%,1,2,2,1,1,3.178571429,0,0,
Treasure of the Rudras,1996,SNES,Fourth,JRPG,Yes,2.857142857,2.857142857,7,14.29%,85.71%,0.00%,0,2,4,1,0,3.178571429,0,0,
♯FE Tokyo Mirage Sessions,2015,Wii U,Eighth,JRPG,No,2.75,2.75,8,25.00%,75.00%,12.50%,0,5,1,1,1,3.1,0,0,
Golden Sun: Dark Dawn,2002,Nintendo DS,Seventh,JRPG,No,2.727272727,2.727272727,11,18.18%,81.82%,9.09%,0,6,3,1,1,3.027777778,2.727272727,2.727272727,
Bravely Second,2015,Nintendo 3DS,Eighth,JRPG,No,2.727272727,2.727272727,11,36.36%,63.64%,9.09%,3,2,2,3,1,3.027777778,2.727272727,2.727272727,
Brigandine,1998,Playstation,Fifth,SRPG,No,2.714285714,2.714285714,7,14.29%,85.71%,0.00%,1,1,4,1,0,3.107142857,0,0,
Pokemon 7 X / Y,2013,Nintendo 3DS,Eighth,JRPG,No,2.6875,2.6875,16,12.50%,87.50%,0.00%,1,5,8,2,0,2.934782609,2.6875,2.6875,
Final Fantasy VII Crisis Core,2007,Playstation Portable,Seventh,ARPG,No,2.666666667,2.666666667,9,22.22%,77.78%,11.11%,2,2,3,1,1,3.03125,0,2.666666667,
Final Fantasy Tactics Advanced,2006,Gameboy Advance,Sixth,SRPG,No,2.666666667,2.666666667,12,25.00%,75.00%,0.00%,2,3,4,3,0,2.973684211,2.666666667,2.666666667,
Final Fantasy X-2,2003,Playstation 2,Sixth,JRPG,No,2.615384615,2.615384615,26,23.08%,76.92%,0.00%,4,8,8,6,0,2.803030303,2.615384615,2.615384615,
Kingdom Hearts Series,2002,Playstation 2,Sixth,ARPG,No,2.55,2.55,20,20.00%,80.00%,5.00%,3,8,5,3,1,2.796296296,2.55,2.55,
Final Fantasy VII Remake,2020,Playstation 4,Eighth,ARPG,No,2.529411765,2.529411765,17,35.29%,64.71%,17.65%,7,3,1,3,3,2.8125,2.529411765,2.529411765,
Final Fantasy II,1988,NES,Third,JRPG,Original only,2.375,2.375,24,4.17%,95.83%,0.00%,2,12,9,1,0,2.629032258,2.375,2.375,
Final Fantasy XV,2016,Playstation 4,Eighth,ARPG,No,2.3125,2.3125,16,12.50%,87.50%,6.25%,5,4,5,1,1,2.673913043,2.3125,2.3125,
Pokemon 9 Sword / Shield,2019,Nintendo Switch,Eighth,JRPG,No,2.222222222,2.222222222,9,22.22%,77.78%,0.00%,3,3,1,2,0,2.78125,0,2.222222222,
Breath of Fire I,1993,SNES,Fourth,JRPG,No,2.173913043,2.173913043,23,8.70%,91.30%,0.00%,6,9,6,2,0,2.483333333,2.173913043,2.173913043,
Pokemon 8 Sun / Moon,2016,Nintendo 3DS,Eighth,JRPG,No,2.090909091,2.090909091,11,18.18%,81.82%,0.00%,5,2,2,2,0,2.638888889,2.090909091,2.090909091,
Final Fantasy XIII,2009,Playstation 3,Seventh,JRPG,No,2,2,24,12.50%,87.50%,0.00%,9,9,3,3,0,2.338709677,2,2,
Growlanser 2,2001,Playstation 2,Sixth,,No,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Growlanser 3,2001,Playstation 2,Sixth,,No,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Growlanser 4,2003,Playstation 2,Sixth,,No,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Growlanser 5,2006,Playstation 2,Sixth,,No,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Growlanser 6,2007,Playstation 2,Sixth,,Japanese only,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Atelier Dusk Series,2012,Playstation 3,Seventh,,No,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Atelier: of Arland Series,2009,Playstation 3,Seventh,,No,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Disgaea 4,2011,Playstation 3,Seventh,,No,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Atelier: The Alchemist of Salburg Series,1997,Playstation,Fifth,,Yes,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Daraku no Kuni no Angie,1996,PC,Fifth,,Japanese only,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Atelier Mysterious Series,2015,Playstation 4,Eighth,,No,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Cyberdimension Neptunia: 4,2017,Playstation 4,Eighth,,No,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Disgaea 5,2015,Playstation 4,Eighth,,No,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
Megadimension Neptunia VII,2015,Playstation 4,Eighth,,No,0,#DIV/0!,0,0.00%,0.00%,0.00%,0,0,0,0,0,3.5,0,0,
